THEME_ID,theme_name,jargon_terms,context_description,related_themes,emotional_tone
THEME_VIEWED_THE_STORY_119,"""Viewed the Story""",A rapper noticing a woman’s Instagram story.,"The modern ""first move"" in the courtship narrative.","status, survival, aspiration",confident
THEME_VERIFIED_120,"""Verified""",Having the Blue Checkmark.,"In this world, a Blue Check is seen as a ""social credit score"" that makes someone more ""reachable.""","status, survival, aspiration",confident
THEME_THE_ROSTER_ROTATION_121,"The ""Roster"" / ""Rotation""","The idea that a man should never have just one woman. He has a ""bench"" of women he can call at any time.",,"status, survival, aspiration",confident
THEME_SPINNING_BACK_122,"""Spinning Back"":","Returning to an ex-partner only for physical reasons, never emotional ones.",,"status, survival, aspiration",confident
THEME_SENDING_THE_JET_UBER_XL_123,"Sending the Jet / Uber XL""","The hierarchy of transportation. Sending a ""Private Jet"" is the ultimate ""Tricking"" flex; sending an ""Uber"" is a sign of low effort or ""treating her like a local.""",,"status, survival, aspiration",confident
THEME_BUYING_A_NEW_BODY_124,"""Buying a New Body""","The ultimate ""Mogul"" move. A rapper will rap about paying for a woman's BBL (Brazilian Butt Lift), teeth (Veneers), or hair as a way of ""claiming"" her or ""upgrading"" his environment.",,"status, survival, aspiration",confident
THEME_THE_TOXIC_DYNAMIC_CITY_BOYS_VS_CITY_GIRLS_125,"The ""Toxic"" Dynamic: ""City Boys"" vs. ""City Girls""","It’s a game of Emotional Chicken—whoever catches feelings first, loses.",,"status, survival, aspiration",confident
THEME_THE_LOW_MAINTENANCE_MYTH_126,"The ""Low Maintenance"" Myth:","Rappers often claim they want a ""simple girl,"" but their lyrics only celebrate women in Hermès and Cartier. This creates a ""Double Standard"" theme.",,"status, survival, aspiration",confident
THEME_PROTECTING_THE_BRAND_127,"""Protecting the Brand"":","A rapper might idolize a woman because she is ""quiet"" or ""private"" (no ""leaks,"" no ""clout-chasing""). In a world of Paranoia, a woman who can keep a secret is the highest form of idolization.",,"status, survival, aspiration",confident
THEME_THE_MUSE_128,"The ""Muse""","Like Kanye West or Travis Scott, some rappers treat women as ""Art Projects,"" styling them in specific clothes and ""rebranding"" them to fit their current aesthetic.",,"status, survival, aspiration",confident
THEME_NAN_129,,,,"status, survival, aspiration",confident
THEME_QUEEN_ING_BUYING_LAND_PUBLIC_PRAISE_HOLD_IT_DOWN_130,"""Queen-ing"": Buying land, public praise, ""Hold it down.""","""Disposability"": ""Next one up,"" ""She for the streets.""","""The Contract"": Allowances, NDAs, ""Pay for play.""","status, survival, aspiration",confident
THEME_SYMBOL_THE_WEDDING_RING_THE_HOME_131,Symbol: The Wedding Ring / The Home.,"Symbol: The ""Block"" / The Delete Button.",Symbol: The Birkin Bag / The CashApp.,"status, survival, aspiration",confident
THEME_THE_PROOF_OF_LIFE_THE_STATUS_GRID_132,"The ""Proof of Life"" (The Status Grid)","In rap, if it wasn't posted, it didn't happen. This creates a theme of performative wealth.",,"status, survival, aspiration",confident
THEME_PHOTO_DUMPS_133,"Photo Dumps""","A curated slide of 10 images that looks ""random"" but is actually a calculated display of power. It usually includes: A private jet wing, a blurry photo of a high-end meal (Carbone/Nobu), a stack of cash, and a ""candid"" shot of a beautiful woman.",,"status, survival, aspiration",confident
THEME_MOTION_134,"""Motion""","A catch-all term for having things happening. ""Having motion"" means your Instagram shows you are busy, traveling, and making money. If your page is ""dry,"" you have ""no motion.",,"status, survival, aspiration",confident
THEME_THE_LOCATION_TAG_135,"""The Location Tag","Using ""hidden"" or ""exclusive"" location tags (like Caniouan, Saint-Tropez, or Private Residence) to show you are in places the average person (the ""civilians"") cannot access.",,"status, survival, aspiration",opportunistic|confident
THEME_THE_MECHANICS_OF_THE_DM_DIGITAL_COURTSHIP_136,"The Mechanics of ""The DM"" (Digital Courtship)","The ""Direct Message"" is the frontline of the modern male-female dynamic in rap. It is where ""Tricking"" begins.",,"status, survival, aspiration",calculated|opportunistic
THEME_RESTRICTED_LIST_CLOSE_FRIENDS_137,"Restricted List"" / ""Close Friends""","A sub-theme of Paranoia. Rappers will post their ""real"" life (the ""illegal"" or ""toxic"" stuff) only to their Close Friends list to avoid ""The Feds"" or ""Leakers.""",,"status, survival, aspiration",confident
THEME_SLIDE_138,"""Slide"":","The act of entering a woman’s DMs. Rappers often brag about ""sliding"" on a woman who is already in a relationship with a ""regular guy"" to prove their superior status.",,"status, survival, aspiration",confident
THEME_BLUE_CHECK_VALIDATION_139,"""Blue Check Validation"":","The idea that the ""Blue Check"" acts as a skeleton key. Rappers will rap about how they don't even have to speak; they just ""heart"" a photo and the woman knows to ""pack a bag.""",,"status, survival, aspiration",confident
THEME_FACE_CARD_140,"""Face Card"":","A woman’s beauty as a form of currency. If her ""face card never declines,"" it means she can get into any club, any jet, or any VIP section for free because of her looks.",,"status, survival, aspiration",confident
THEME_THE_JET_SETTER_141,"""The Jet Setter""","A theme where women are idolized for being ""world-travelers."" However, the subtext (The ""Ada"") is often: Who paid for the flight? Rappers will ""expose"" women by claiming they paid for their ""Dubai trip"" or ""Cabo trip.""",,"status, survival, aspiration",confident
THEME_INFLUENCER_VS_VIXEN_142,"""Influencer vs. Vixen","The subtle hierarchy. A ""Vixen"" is old-school (music videos); an ""Influencer"" is modern (Instagram/TikTok). Rappers prefer the latter because she brings her own ""clout"" to the relationship.",,"status, survival, aspiration",confident
THEME_NAN_143,,,,"status, survival, aspiration",confident
THEME_CLOUT_CHASING_144,"""Clout Chasing""",Betrayal / Status,Using a rapper’s name or image on Instagram to gain followers/fame.,"status, survival, aspiration",confident
THEME_BOOKED_AND_BUSY_145,"""Booked and Busy""",Motion,"A woman or artist claiming they are constantly working to increase their ""market value.""","status, survival, aspiration",confident
THEME_SHADOWBANNED_146,"""Shadowbanned""",Surveillance,"Claiming the ""Algorithm"" (the digital Feds) is suppressing their content because they are ""too real.""","status, survival, aspiration",confident
THEME_RECEIPTS_147,"""Receipts""",Accountability,"Screenshots of DMs, bank transfers, or flights used as ""evidence"" in a public ""Gender War"" fallout.","status, survival, aspiration",confident
THEME_STALKING_148,"""Stalking""",Paranoia,"Checking an ex’s or an ""Opp’s"" story from a ""Burner Account"" (fake profile).","status, survival, aspiration",confident
THEME_CAPTIONS_149,"""Captions""",Messaging,"Using song lyrics to send ""subliminal"" messages to enemies or lovers without naming them.","status, survival, aspiration",confident
THEME_THE_AESTHETIC_HIERARCHY_THE_VISUAL_ADA_150,"The ""Aesthetic"" Hierarchy (The Visual Ada)","There is an ongoing ""Agenda"" regarding how a rapper’s Instagram should look to signal different types of power:",,"status, survival, aspiration",confident
THEME_THE_HUSTLER_AESTHETIC_151,"The ""Hustler"" Aesthetic","Low-quality photos, lots of cash, ""raw"" footage from the block. Signals Authenticity.",,"status, survival, aspiration",gritty|defiant
THEME_THE_OLD_MONEY_AESTHETIC_152,"The ""Old Money"" Aesthetic:","High-quality film photography, neutral colors, minimalist fashion (Loro Piana/Brunello Cucinelli). Signals Ascension (moving past the ""hood"").",,"status, survival, aspiration",confident
THEME_THE_ROCKSTAR_AESTHETIC_153,"The ""Rockstar"" Aesthetic:","Flash photography, leather, messy rooms, ""toxic"" behavior. Signals Rebellion.",,"status, survival, aspiration",confident
THEME_THE_GIRL_DAD_VS_PLAYER_PARADOX_154,"The ""Girl Dad"" vs. ""Player"" Paradox","A fascinating theme in Instagram world-building is the shift between the ""Toxic Player"" and the ""Family Man.""","A rapper might post a photo ""tricking"" on three different women on Friday, but on Sunday, he posts a photo with his daughter (the ""Girl Dad"" theme).","status, survival, aspiration",confident
THEME_THE_SECTION_THE_THRONE_ROOM_155,"The ""Section"" (The Throne Room)","you don't just ""go to the club."" You ""buy a section."" The section is a cordoned-off VIP area that serves as a temporary kingdom.",,"status, survival, aspiration",confident
THEME_THE_FRONT_ROW_156,"The Front Row"":","The most expensive table, usually right next to the DJ or the dance floor. This signals you are the ""Top Don"" of the night.",,"status, survival, aspiration",confident
THEME_THE_WALL_157,"""The Wall""","Rappers often rap about ""standing on the couches"" with their backs against the wall. This is a Paranoia motif—you never want your back to the room so you can see the ""Ops"" or ""12"" coming.",,"status, survival, aspiration",confident
THEME_THE_ROPE_158,"""The Rope"":","The physical velvet rope. Rappers discuss who they ""let behind the rope"" and who they leave outside, using it as a metaphor for social gatekeeping.",,"status, survival, aspiration",confident
THEME_THE_BOTTLE_GIRL_ECONOMY_THE_GATEKEEPERS_159,"The ""Bottle Girl"" Economy (The Gatekeepers)","Bottle girls are a central archetype in modern rap. They are often the ""muses"" for rappers and the primary targets for ""tricking.""",,"status, survival, aspiration",confident
THEME_THE_PARADE_160,"The Parade""","When a rapper buys 20+ bottles of Ace of Spades or Don Julio 1942, the girls bring them out with sparklers and signs. This is the ultimate ""Visual Ada"" (Agenda)—it forces everyone in the club to look at who is spending the most.",,"status, survival, aspiration",confident
THEME_THE_TAB_161,"The Tab""","Bragging about a $50,000 or $100,000 ""tab"" (receipt) is a core theme. It’s not about the alcohol; it’s about the ability to ""burn"" that much money in four hours.",,"status, survival, aspiration",confident
THEME_THE_TIP_162,"""The Tip""","A rapper ""tricking"" on a bottle girl by leaving a massive tip ($5k–$10k) is a way to establish dominance over the club's ""infrastructure.""",,"status, survival, aspiration",confident
THEME_NAN_163,,,,"status, survival, aspiration",confident
THEME_THE_PROMOTER_164,The Promoter,"To bring the ""Baddies"" to the section.",The middleman who bridges the gap between the Rapper and the Instagram Models.,"status, survival, aspiration",confident
THEME_THE_SECURITY_165,The Security,"To maintain the ""Private Perimeter.""","Usually mentioned as ""The Muscle"" or ""The Enforcers"" who keep the ""Ops"" away.","status, survival, aspiration",confident
THEME_THE_VULTURES_166,"The ""Vultures""",People trying to get into the section for free drinks/clout.,"Rappers rap about ""fanning off"" the vultures and keeping the circle tight.","status, survival, aspiration",confident
THEME_THE_WALK_IN_167,"The ""Walk-In""",Entering the club with a 30-person entourage.,"Demonstrates ""Army"" strength and financial backing (paying for everyone's entry).","status, survival, aspiration",confident
THEME_THE_BOTTLE_WAR_NARRATIVE_168,"The ""Bottle War"" Narrative",This is a specific sub-theme where two rival groups or rappers try to out-spend each other in the same club.,,"status, survival, aspiration",confident
THEME_SENDING_A_BOTTLE_169,"Sending a Bottle""","A psychological move. A rapper might send a single bottle of cheap champagne to a rival’s table as an insult (implying they look thirsty), or send an expensive one as a ""peace offering"" or a show of superior wealth.",,"status, survival, aspiration",confident
THEME_CLOSING_THE_CLUB_170,"""Closing the Club""","Being the last person in the section when the lights come on. It’s a sign of stamina and having ""limitless"" funds.",,"status, survival, aspiration",confident
THEME_NIGHTLIFE_JARGON_INSTAGRAM_SYNERGY_171,Nightlife Jargon & Instagram Synergy,"The club is where ""Content"" for Instagram is manufactured.",,"status, survival, aspiration",opportunistic|confident
THEME_THE_RECAP_172,"The Recap"":","A high-definition video posted the next day showing the rapper in the club. It usually features ""slow-motion"" shots of jewelry and ""Baddies"" laughing.",,"status, survival, aspiration",confident
THEME_SHADOW_BOXING_173,"""Shadow Boxing"":","Rappers often rap about ""shadow boxing"" in the section—literally punching the air while holding a bottle. It represents their readiness for a fight, even while celebrating.",,"status, survival, aspiration",confident
THEME_SECTION_RULES_174,"""Section Rules""","""No phones"" (to prevent ""leaks"" or ""paranoia""), ""No sitting"" (energy must stay high), and ""Ladies only"" (no random men allowed in the rapper's space).",,"status, survival, aspiration",confident
THEME_THE_AFTER_PARTY_THE_TRANSITION_175,"The ""After-Party"" (The Transition)",The world-building doesn't end when the club closes at 4:00 AM.,,"status, survival, aspiration",confident
THEME_THE_SPRINTER_176,"""The Sprinter""","The Mercedes Sprinter van is the ""limo"" of modern rap. It’s where the ""Roster"" of women from the club is moved to the ""Safe House"" or the ""Penthouse.""",,"status, survival, aspiration",confident
THEME_THE_WAFFLE_HOUSE_DINER_177,"""The Waffle House / Diner"":","A recurring theme of ""rich but still hood."" Even after spending $20k in the club, the rapper goes to a 24-hour diner, bringing the ""Baddies"" into a ""civilian"" environment.",,"status, survival, aspiration",confident
THEME_THE_4_00_AM_TRANSITION_I_178,The 4:00 AM transition i,"is the most vulnerable and revealing part of the rap ""world-building"" narrative. It is the bridge between the public performance of the club and the private reality of the ""fortress."" In this space, the ""Alpha"" persona either intensifies or cracks under the pressure of Paranoia and Exhaustion.",,"status, survival, aspiration",confident
THEME_NAN_179,,,,"status, survival, aspiration",confident
THEME_THE_HEADCOUNT_180,"""The Headcount""",Checking who is in the van.,"Ensuring only ""vetted"" women and loyal ""soldiers"" are present.","status, survival, aspiration",confident
THEME_COLLECT_THE_PHONES_181,"""Collect the Phones""",Forcing guests to put phones in a bag.,"Anti-Surveillance: Preventing ""leaks,"" ""secret recordings,"" or ""location drops.""","status, survival, aspiration",opportunistic|paranoid
THEME_FACE_ID_182,"""Face ID""",Looking at a girl's IG one last time.,"Ensuring her ""Market Value"" and ""Vibe"" match the after-party energy.","status, survival, aspiration",confident|celebratory
THEME_THE_TAIL_183,"""The Tail""","Checking if any ""Opps"" or ""Feds"" are following.",Highlighting the Paranoia that follows the rapper out of the club.,"status, survival, aspiration",confident
THEME_THE_DESTINATION_ARCHETYPES_184,The Destination Archetypes,"The after-party doesn't always happen at the rapper's main home. Depending on the level of ""danger"" or ""secrecy,"" the destination changes.",,"status, survival, aspiration",confident
THEME_NAN_185,,,,"status, survival, aspiration",confident
THEME_THE_SAFE_HOUSE_186,"The ""Safe House""",Security / Low Profile,"Bare furniture, high-end security systems, tucked away in a ""regular"" neighborhood.","status, survival, aspiration",confident
THEME_THE_AIRBNB_187,"The ""Airbnb""",Disposability / No Traces,A rental used specifically for the night to keep the rapper’s real address a secret.,"status, survival, aspiration",confident
THEME_THE_PENTHOUSE_188,"The ""Penthouse""",Luxury / Conquest,"Floor-to-ceiling glass, 360-degree city views. Used to ""wow"" the women and prove total dominance.","status, survival, aspiration",confident
THEME_THE_STUDIO_189,"The ""Studio""","Work Ethic / ""The Grind""","Turning the party into a recording session. Shows the rapper ""never sleeps"" and prioritizes the music.","status, survival, aspiration",confident|celebratory
THEME_THE_FEMALE_DYNAMIC_THE_SELECTION_VS_THE_CUT_190,"The Female Dynamic: ""The Selection"" vs. ""The Cut""","At 4:00 AM, the ""Gender War"" becomes a game of musical chairs. Not every woman from the club makes it to the final destination.",,"status, survival, aspiration",confident
THEME_THE_CUT_191,"""The Cut"":","The moment at the curb where the promoter tells certain girls, ""There’s no more room in the van."" This creates a hierarchy of ""Tier 1 Baddies.""",,"status, survival, aspiration",confident
THEME_THE_PLUS_ONE_192,"""The Plus One"":","A rapper might want one girl, but she refuses to go without her friend. The rapper must decide if ""sponsoring"" the friend is worth the ""access"" to the target.",,"status, survival, aspiration",confident
THEME_THE_BREAKFAST_RUN_193,"""The Breakfast Run""","As we discussed, moving the 4:00 AM group to a 24-hour spot (Waffle House, IHOP). This is a ""Humility Flex""—showing that despite the millions, they are still ""connected to the streets.""",,"status, survival, aspiration",confident
THEME_SUBSTANCE_PSYCHOLOGICAL_THEMES_194,Substance & Psychological Themes,"The 4:00 AM era is where the ""Vice"" themes often turn darker or more reflective.",,"status, survival, aspiration",confident
THEME_NAN_195,,,,"status, survival, aspiration",confident
THEME_ESCAPISM_196,Escapism,"""Codeine Crazy,"" ""Xanny Bar,"" ""Perky.""","Moving from ""Partying"" to ""Numbing."" Dealing with the comedown of fame.","status, survival, aspiration",confident|celebratory
THEME_PILLOW_TALK_197,Pillow Talk,"""Don't tell,"" ""Loose lips,"" ""Confessions.""",The danger of a rapper saying too much to a woman he just met while under the influence.,"status, survival, aspiration",confident
THEME_SUNLIGHT_FEAR_198,Sunlight Fear,"""Vampires,"" ""The Sun coming up,"" ""Closing the blinds.""","The anxiety of the ""party"" ending and reality (legal issues, bills, stress) setting in.","status, survival, aspiration",confident|celebratory
THEME_THE_CLEANUP_199,"The ""Cleanup""","""Delete the footage,"" ""Send the Ubers.""","The cold, transactional end of the night where everyone is sent home.","status, survival, aspiration",confident
THEME_TRICKING_AT_4_00_AM_THE_FINAL_TRANSACTION_200,"""Tricking"" at 4:00 AM: The Final Transaction","This is where the ""Tricking"" we discussed earlier becomes literal.",,"status, survival, aspiration",confident
THEME_THE_CASHAPP_AT_SUNRISE_201,"The CashApp at Sunrise""","A rapper sending a ""thank you"" or ""get home safe"" payment to a woman. It’s a way to maintain his reputation as a ""Provider"" or ""Sponsor.""",,"status, survival, aspiration",calculated|opportunistic
THEME_THE_UBER_BLACK_202,"""The Uber Black""","Sending the woman home in a luxury vehicle rather than a standard one. It’s the final ""Status"" mark of the night.",,"status, survival, aspiration",confident
THEME_THE_GIFT_203,"""The Gift""","In high-level ""Mogul"" world-building, a woman might leave the after-party with a piece of jewelry or a designer bag as a ""parting gift.""",,"status, survival, aspiration",confident
THEME_THE_MORNING_AFTER_AGENDA_THE_ADA_204,"The ""Morning After"" Agenda (The Ada)","There is a recurring ""conscious"" theme about the ""4:00 AM Regret."" This is the moment where the rapper looks at the mess, the strangers in his house, and the money spent, wondering if it was all ""for the 'Gram"" or if it was real.",,"status, survival, aspiration",confident
THEME_THE_EMPTY_FEELING_205,"""The Empty Feeling"":","Realizing the ""clout"" is temporary",,"status, survival, aspiration",confident
THEME_THE_RESET_206,"""The Reset"":",Waking up at 2:00 PM to start the whole cycle over again for the next club night.,,"status, survival, aspiration",confident
THEME_THE_CLEAN_UP_DAMAGE_CONTROL_207,"The ""Clean Up"" & Damage Control","The first few hours of the afternoon are dedicated to erasing the ""traces"" of the 4:00 AM life to protect the ""Brand"" and ""Legal Standing.""",,"status, survival, aspiration",confident
THEME_NAN_208,,,,"status, survival, aspiration",confident
THEME_NDAS_PRIVACY_209,NDAs & Privacy,"""Signing the papers,"" ""NDA on the counter.""","Ensuring no one leaks ""behind-the-scenes"" footage to blogs like The Shade Room.","status, survival, aspiration",confident
THEME_DIGITAL_SCRUBBING_210,Digital Scrubbing,"""Check the tags,"" ""Delete that story.""","Removing evidence of being in specific places or with specific people (avoiding ""Opps"" or ""The Feds"").","status, survival, aspiration",calculated|opportunistic
THEME_PHYSICAL_MAINTENANCE_211,Physical Maintenance,"""The Maid Service,"" ""The Detailer.""","Erasing the evidence of the party from the ""Safe House"" or the ""Sprinter.""","status, survival, aspiration",confident|celebratory
THEME_THE_GHOST_212,"The ""Ghost""","""Going Ghost,"" ""Airplane Mode.""","Cutting off all communication to recover and avoid ""Clout Chasers"" asking for money.","status, survival, aspiration",confident
THEME_THE_PROFESSIONAL_INNER_CIRCLE_THE_WAR_ROOM_213,"The Professional Inner Circle (The ""War Room"")",,,"status, survival, aspiration",confident
THEME_THE_JEWELER_THE_APPRAISAL_214,"The ""Jeweler"" (The Appraisal)","Calls to the jeweler to fix a ""bust down"" watch or order a new ""piece."" The jeweler is often a therapist-figure who knows the rapper’s financial secrets.",,"status, survival, aspiration",confident
THEME_THE_FIXER_THE_LAWYER_215,"The ""Fixer"" (The Lawyer):","Not just for criminal cases, but for ""Civil"" issues—handling ""accidents,"" noise complaints from the Airbnb, or ""hush money"" (legal settlements).",,"status, survival, aspiration",confident
THEME_THE_MONEY_MANAGER_ACCOUNTANT_216,"The ""Money Manager"" / ""Accountant"":","The person who gives the rapper a ""reality check."" Lyrics often feature the rapper arguing with their accountant about ""overspending"" versus ""investing.""",,"status, survival, aspiration",confident
THEME_THE_A_R_MANAGER_217,"The ""A&R"" / ""Manager"":","Looking at the ""stats"" from the night. Did the ""recap"" video go viral? Is the song ""charting""?",,"status, survival, aspiration",confident
THEME_THE_RECOVERY_THEME_HEALTH_WELLNESS_218,"The ""Recovery"" Theme (Health & Wellness)","A growing theme in modern ""High Value"" rap is the obsession with staying ""fit for the fight."" This is the Wellness Agenda.",,"status, survival, aspiration",confident
THEME_IV_DRIPS_219,"""IV Drips""","Rappers getting vitamin IV drips to recover from the alcohol and ""Wockhardt"" (Lean) consumption.",,"status, survival, aspiration",confident
THEME_THE_CHEF_220,"""The Chef"":","Moving from 4:00 AM Waffle House to a private chef preparing ""Sea Moss,"" ""Pressed Juices,"" and ""Alkaline Water.""",,"status, survival, aspiration",confident
THEME_THE_TRAINER_221,"""The Trainer"":","Boxing or weightlifting in the afternoon. This signals ""Discipline"" and the ability to out-work the competition.",,"status, survival, aspiration",confident
THEME_NAN_222,,,,"status, survival, aspiration",confident
THEME_WIRE_TRANSFER_223,"""Wire Transfer""",Wealth / Power,"The sound of a ""ping"" on the phone signaling a new deal or a ""cleared"" payment.","status, survival, aspiration",confident
THEME_EQUITY_224,"""Equity""",Legacy,"Owning a percentage of the liquor brand, the weed brand, or the clothing line.","status, survival, aspiration",confident
THEME_THE_ADVANCE_225,"""The Advance""",Debt / Trap,"Taking money from the label; often framed as ""selling your future"" if you aren't smart.","status, survival, aspiration",confident
THEME_QUARTERLY_REPORTS_226,"""Quarterly Reports""",Maturity,"Checking the streaming numbers and ""royalties.""","status, survival, aspiration",confident
THEME_TAX_WRITE_OFF_227,"""Tax Write-off""",Strategy,"Framing the cars, the jewelry, and the ""After-Party"" as ""business expenses"" for the ""Brand.""","status, survival, aspiration",confident|celebratory
THEME_THE_BUSINESS_VS_STREET_CONFLICT_228,"The ""Business vs. Street"" Conflict",A major world-building theme is the Identity Crisis that happens during the day.,,"status, survival, aspiration",gritty|defiant
THEME_THE_PHONE_CALL_229,The Phone Call:,"The rapper has to switch from talking ""Street"" to his ""Day Ones"" to talking ""Corporate"" to a CEO or a Lawyer.",,"status, survival, aspiration",opportunistic|confident
THEME_THE_TAXMAN_230,"""The Taxman"":","Paranoia shifts from ""The Feds"" (criminal) to ""The IRS"" (financial). Lyrics about ""offshore accounts"" or ""stashing cash in the walls"" to avoid being ""audited.""",,"status, survival, aspiration",gritty|defiant
THEME_6_THE_SPONSORSHIP_RE_UP_INSTAGRAM_MAINTENANCE_231,"6. The ""Sponsorship"" Re-Up (Instagram Maintenance)","In the afternoon, the rapper coordinates with the women from the night before to ensure the ""Brand Narrative"" is consistent.",,"status, survival, aspiration",opportunistic|confident
THEME_TAG_ME_232,"""Tag Me"":","Telling the woman to tag the rapper in her ""thank you"" post to keep the ""Mogul"" image alive.",,"status, survival, aspiration",opportunistic|confident
THEME_THE_DIRECT_DEPOSIT_233,"""The Direct Deposit"":","The ""Tricking"" continues in the form of ""Sponsorship""—paying for the woman's ""Maintenance"" (Hair, Nails, Gym) to keep her looking like a ""Trophy"" for the next event.",,"status, survival, aspiration",calculated|opportunistic
